Level1/NewsCode,topic_name,topic_description,SubjectCode mapping,Wikidata mapping,RetiredDate
medtop:01000000,"arts, culture, entertainment and media","All forms of arts, entertainment, cultural heritage and media",http://cv.iptc.org/newscodes/subjectcode/01000000,,
medtop:16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",,,
medtop:02000000,"crime, law and justice","The establishment and/or statement of the rules of behavior in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organizations and bodies involved in these activities",http://cv.iptc.org/newscodes/subjectcode/02000000,http://www.wikidata.org/entity/Q146491,
medtop:03000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,http://cv.iptc.org/newscodes/subjectcode/03000000,http://www.wikidata.org/entity/Q18669875,
medtop:04000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth.",http://cv.iptc.org/newscodes/subjectcode/04000000,,
medtop:05000000,education,"All aspects of furthering knowledge, formally or informally",http://cv.iptc.org/newscodes/subjectcode/05000000,http://www.wikidata.org/entity/Q8434,
medtop:06000000,environment,"All aspects of protection, damage, and condition of the ecosystem of the planet earth and its surroundings.",http://cv.iptc.org/newscodes/subjectcode/06000000,http://www.wikidata.org/entity/Q43619,
medtop:07000000,health,All aspects of physical and mental well-being,http://cv.iptc.org/newscodes/subjectcode/07000000,http://www.wikidata.org/entity/Q12147,
medtop:08000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",,http://www.wikidata.org/entity/Q361306,
medtop:09000000,labor,"Social aspects, organizations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed.",http://cv.iptc.org/newscodes/subjectcode/09000000,http://www.wikidata.org/entity/Q268378,
medtop:10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel.",http://cv.iptc.org/newscodes/subjectcode/10000000,http://www.wikidata.org/entity/Q1267055,
medtop:11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states.",http://cv.iptc.org/newscodes/subjectcode/11000000,http://www.wikidata.org/entity/Q7163,
medtop:12000000,religion,"Belief systems, institutions and people who provide moral guidance to followers",http://cv.iptc.org/newscodes/subjectcode/12000000,,
medtop:13000000,science and technology,"All aspects pertaining to human understanding of, as well as methodical study and research of natural, formal and social sciences, such as astronomy, linguistics or economics",http://cv.iptc.org/newscodes/subjectcode/13000000,http://www.wikidata.org/entity/Q34104,
medtop:14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare, such as poverty, human rights and family planning",http://cv.iptc.org/newscodes/subjectcode/14025000,http://www.wikidata.org/entity/Q8425,
medtop:15000000,sport,Competitive activity or skill that involves physical and/or mental effort and organizations and bodies involved in these activities,http://cv.iptc.org/newscodes/subjectcode/15000000,http://www.wikidata.org/entity/Q349,
medtop:17000000,weather,"The study, prediction and reporting of meteorological phenomena",http://cv.iptc.org/newscodes/subjectcode/17000000,http://www.wikidata.org/entity/Q11663,
